Ecosistema;Sitio;Sector;Parcela;Longitud;Latitud;Estado;Medida;Valor;Unidades;Origen_Informacion
Bosque Andino;Santander;Santuario de Fauna y Flora Guanenta;1RO;-73.145144;5.975767;Conservado;BA;130.3745967;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Santuario de Fauna y Flora Guanenta;1RI;-73.146714;5.97732;Degradado;BA;84.86786751;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Santuario de Fauna y Flora Guanenta;2RO;-73.144948;5.974947;Conservado;BA;106.8071609;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Santuario de Fauna y Flora Guanenta;2RI;-73.15082;5.950982;Degradado;BA;89.17601839;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Santuario de Fauna y Flora Guanenta;3RO;-73.145913;5.976624;Conservado;BA;134.5598839;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Santuario de Fauna y Flora Guanenta;3RI;-73.150263;5.952148;Degradado;BA;127.4178051;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Santuario de Fauna y Flora Guanenta;4RO;-73.145285;5.977627;Conservado;BA;198.910158;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Santuario de Fauna y Flora Guanenta;4RI;-73.149946;5.953577;Degradado;BA;110.5773686;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Santuario de Fauna y Flora Guanenta;5RO;-73.147569;5.971741;Conservado;BA;114.571196;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Santuario de Fauna y Flora Guanenta;5RI;-73.146131;5.973477;Degradado;BA;86.8757648;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;P1B_Yar;-73.358264;6.595462;80 años;BA;154.7538415;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;P2B_Yar;-73.357746;6.596469;80 años;BA;79.31708771;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;P3B_Yar;-73.355693;6.594609;80 años;BA;49.17005804;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;P4B_Yar;-73.351925;6.591011;80 años;BA;102.8717973;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;P5B_Yar;-73.35236;6.590823;80 años;BA;45.82516461;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;PPAS-P1_Yar;-73.352347;6.585229; ;BA;2.96;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;PPAS-P2_Yar;-73.35172;6.585226; ;BA;4.85;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;PPAS-P3_Yar;-73.350851;6.584701; ;BA;1.39;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;PPAS-P4_Yar;-73.350022;6.58323; ;BA;2.81;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;PPAS-P5_Yar;-73.349948;6.582466; ;BA;1.56;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;P1RA_Yar;-73.354061;6.589175;17 años;BA;35.95961388;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;P2RA_Yar;-73.353438;6.588041;17 años;BA;17.88082001;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;P3RA_Yar;-73.354283;6.587539;17 años;BA;49.06617157;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;P4RA_Yar;-73.353246;6.587368;17 años;BA;47.38175058;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;P5RA_Yar;-73.353518;6.586233;17 años;BA;25.51402572;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;P2R_Yar;-73.352066;6.594506;7 años;BA;20.2449278;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;P32_Yar;-73.35146;6.594754;7 años;BA;8.979035012;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;P4R_Yar;-73.35399;6.593255;7 años;BA;32.68306179;tC ha-1;PUJ / Ecopetrol
Bosque Andino;Santander;Parque Nacional Natural Yariguies;P5R_Yar;-73.354579;6.592712;7 años;BA;11.53307383;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Reserva Natural de Rey Zamuro;BG1_RZ;-73.374985;3.526;Degradado;BA;38.48851884;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Reserva Natural de Rey Zamuro;BG10_RZ;-73.404924;3.524614;Conservado;BA;70.73591776;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Reserva Natural de Rey Zamuro;BG2_RZ;-73.404228;3.528672;Conservado;BA;46.79375742;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Reserva Natural de Rey Zamuro;BG3_RZ;-73.403886;3.529389;Conservado;BA;58.96426506;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Reserva Natural de Rey Zamuro;BG4_RZ;-73.375167;3.526717;Degradado;BA;83.74578995;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Reserva Natural de Rey Zamuro;BG5_RZ;-73.377144;3.528103;Degradado;BA;88.3511731;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Reserva Natural de Rey Zamuro;BG6_RZ;-73.404225;3.52581;Conservado;BA;107.2800232;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Reserva Natural de Rey Zamuro;BG7_RZ;-73.385942;3.528498;Degradado;BA;34.54826405;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Reserva Natural de Rey Zamuro;BG8_RZ;-73.404519;3.527445;Conservado;BA;63.40269446;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Reserva Natural de Rey Zamuro;BG9_RZ;-73.382276;3.526128;Degradado;BA;45.37565151;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Ecoreserva de Campo Rubiales;BG1Rub;-71.435858;3.819439;Conservado;BA;49.84312212;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Ecoreserva de Campo Rubiales;BG2Rub;-71.435384;3.819325;Degradado;BA;24.46541591;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Ecoreserva de Campo Rubiales;BG3Rub;-71.435681;3.818659;Conservado;BA;68.08788512;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Ecoreserva de Campo Rubiales;BG4Rub;-71.488643;3.799312;Degradado;BA;44.34388641;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Ecoreserva de Campo Rubiales;BG5Rub;-71.488359;3.79928;Degradado;BA;42.31918677;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Ecoreserva de Campo Rubiales;BG6Rub;-71.487863;3.79929;Conservado;BA;50.49379829;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Reserva Natural Yurumí ;BG1_Yur;-72.521861;4.103056;Degradado;BA;70.36192666;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Reserva Natural Yurumí ;BG2_Yur;-72.522278;4.094611;Conservado;BA;164.1116438;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Reserva Natural Yurumí ;BG3_Yur;-72.529361;4.099389;Conservado;BA;82.95340832;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Reserva Natural Yurumí ;BG4_Yur;-72.529722;4.098556;Conservado;BA;145.8133465;tC ha-1;PUJ / Ecopetrol
Bosque de Galería;Meta;Reserva Natural Yurumí ;BG5_Yur;-72.534083;4.099611;Degradado;BA;74.13033838;tC ha-1;PUJ / Ecopetrol
Bosque Húmedo;Santander;Centro de Investigaciones Santa Lucia - UNIPAZ;C1 SPF1;-73.7477;7.08034;conservado;BA;189.7211743;tC ha-1;PUJ / Ecopetrol
Bosque Húmedo;Santander;Centro de Investigaciones Santa Lucia - UNIPAZ;C2 SPF1;-73.74806;7.07726;conservado;BA;94.62027375;tC ha-1;PUJ / Ecopetrol
Bosque Húmedo;Santander;Centro de Investigaciones Santa Lucia - UNIPAZ;C1 SPF2;-73.74778;7.08113;conservado;BA;39.05423015;tC ha-1;PUJ / Ecopetrol
Bosque Húmedo;Santander;Centro de Investigaciones Santa Lucia - UNIPAZ;C2 SPF2;-73.74816;7.07811;conservado;BA;108.354868;tC ha-1;PUJ / Ecopetrol
Bosque Húmedo;Santander;Centro de Investigaciones Santa Lucia - UNIPAZ;C1 SPF3;-73.747081;7.080381;conservado;BA;92.39382451;tC ha-1;PUJ / Ecopetrol
